time,win,loss,prim_tent,prim_gale,seg_gale,white,black,red
2022-09-03 16:06:31.276737,1,0,0,0,1,0,1,0
2022-09-03 16:10:26.468778,1,0,0,0,1,0,1,0
2022-09-03 16:12:26.560202,1,0,0,0,1,0,0,1
2022-09-03 16:14:56.749599,1,0,0,1,0,1,1,0
2022-09-03 16:17:26.939512,0,1,0,0,0,0,0,0
2022-09-03 16:19:27.396458,1,0,0,1,0,1,1,0
2022-09-03 16:21:27.091542,1,0,1,0,0,0,0,1
2022-09-03 16:23:27.015645,1,0,0,1,0,0,0,1
2022-09-03 16:26:01.154849,1,0,0,1,0,0,0,1
2022-09-03 16:28:01.286519,1,0,0,0,1,0,1,0
2022-09-03 16:28:57.387722,1,0,1,0,0,0,0,1
2022-09-03 16:30:09.652039,1,0,1,0,0,1,1,0
2022-09-03 16:32:27.659213,1,0,0,1,0,0,1,0
2022-09-03 16:33:32.049470,1,0,1,0,0,0,0,1
2022-09-03 16:35:57.802795,1,0,0,0,1,0,0,1
2022-09-03 16:39:28.206280,1,0,1,0,0,0,0,1
2022-09-03 16:41:27.950696,1,0,0,0,1,0,1,0
2022-09-03 16:42:27.992187,1,0,1,0,0,0,0,1
2022-09-03 16:46:32.585820,1,0,0,1,0,0,0,1
2022-09-03 16:48:32.606167,1,0,1,0,0,0,1,0
2022-09-03 16:50:02.719644,1,0,0,1,0,0,0,1
2022-09-03 16:54:05.509500,1,0,0,0,1,0,0,1
2022-09-03 16:55:02.894231,1,0,1,0,0,0,1,0
2022-09-03 16:56:33.187651,1,0,1,0,0,0,1,0
2022-09-03 16:58:35.683281,1,0,0,1,0,0,1,0
2022-09-03 16:59:33.745878,1,0,1,0,0,1,1,0
2022-09-03 17:01:11.421880,1,0,1,0,0,0,1,0
2022-09-03 17:03:03.285864,1,0,0,0,1,0,0,1
2022-09-03 17:04:33.484010,1,0,0,1,0,0,1,0
2022-09-03 17:06:03.401034,1,0,1,0,0,0,1,0
2022-09-03 17:07:33.569292,1,0,0,1,0,1,1,0
2022-09-03 17:09:06.015473,1,0,1,0,0,1,1,0
2022-09-03 17:11:03.614199,1,0,0,1,0,0,1,0
2022-09-03 17:12:33.695355,1,0,1,0,0,0,1,0
2022-09-03 17:13:33.742491,1,0,1,0,0,0,0,1
2022-09-03 17:15:03.956268,1,0,0,1,0,0,1,0
2022-09-03 17:16:04.052459,1,0,1,0,0,0,0,1
2022-09-03 17:39:52.715893,1,0,1,0,0,0,1,0
2022-09-03 17:40:35.107229,1,0,1,0,0,0,1,0
